budget,id,original_language,original_title,revenue,runtime,title,release_date,popularity,vote_average,vote_count
0,895001,th,ปริศนารูหลอน,0,125,The Whole Truth,2016-03-25,9.226,6.5,918
69000000,20352,en,Despicable Me,533679475,95,Despicable Me,2010-07-08,73.201,7.2,13098
63000000,329,en,Jurassic Park,920100000,127,Jurassic Park,1993-06-11,53.053,7.9,13468
250000000,122917,en,The Hobbit: The Battle of the Five Armies,956019788,144,The Hobbit: The Battle of the Five Armies,2014-12-10,121.9,7.3,11990
0,691683,en,Cheaper by the Dozen,0,107,Cheaper by the Dozen,2003-12-24,26.962,6.3,2356
90000000,505026,en,Death on the Nile,137110100,127,Death on the Nile,1978-09-29,15.295,7.1,545
90000000,505026,en,Death on the Nile,137110100,127,Death on the Nile,2022-02-09,192.584,6.5,1690
0,39108,ja,ドラゴンボールZ 龍拳爆発!!悟空がやらねば誰がやる,24000000,51,Dragon Ball Z: Wrath of the Dragon,1995-07-15,81.433,7.2,504
0,39102,ja,ドラゴンボールゼット 超スーパーサイヤ人じんだ孫そん悟ご空くう,16400000,52,Dragon Ball Z: Lord Slug,1991-03-19,73.027,6.4,393
1200000,176,en,Saw,103911669,103,Saw,2004-10-01,61.946,7.4,7402
1200000,176,en,Saw,103911669,103,Saw,2003-01-01,12.075,7.0,395
165000000,82690,en,Wreck-It Ralph,471222889,101,Wreck-It Ralph,2012-01-01,99.437,7.3,10653
40000000,10144,en,The Little Mermaid,211343479,83,The Little Mermaid,1989-11-17,111.637,7.4,6442
79000000,72545,en,Journey 2: The Mysterious Island,355692760,94,Journey 2: The Mysterious Island,2012-01-19,101.969,6.1,3536
90000000,10674,en,Mulan,304320254,88,Mulan,1998-06-18,111.951,7.9,8044
90000000,10674,en,Mulan,304320254,88,Mulan,2020-09-04,128.899,7.0,5650
200000000,337401,en,Mulan,66800000,115,Mulan,1998-06-18,111.951,7.9,8044
200000000,337401,en,Mulan,66800000,115,Mulan,2020-09-04,128.899,7.0,5650
125000000,98566,en,Teenage Mutant Ninja Turtles,477200000,101,Teenage Mutant Ninja Turtles,1990-03-30,20.169,6.6,1349
125000000,98566,en,Teenage Mutant Ninja Turtles,477200000,101,Teenage Mutant Ninja Turtles,2014-08-07,107.341,5.9,5873
200000000,14161,en,2012,791217826,158,2012,2009-10-10,120.544,5.8,10450
0,39103,ja,ドラゴンボールZ 激突!!100億パワーの戦士たち,19581369,46,Dragon Ball Z: The Return of Cooler,1992-03-07,78.109,6.6,417
