,id,title,release_date,popularity,vote_average,vote_count
203,652722,In the Arms of an Assassin,2019-12-06,10.317,8.1,294
204,38288,I corti,1996-01-01,4.77,8.1,327
205,3780,Red Beard,1965-04-03,6.208,8.1,237
206,843,In the Mood for Love,2000-09-29,14.237,8.1,1880
207,103663,The Hunt,2012-10-25,22.43,8.1,3069
208,359940,Three Billboards Outside Ebbing  Missouri,2017-12-01,19.324,8.1,8517
209,347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,2015-07-10,16.45,8.1,221
210,38,Eternal Sunshine of the Spotless Mind,2004-03-19,32.277,8.1,12289
211,449176,Love  Simon,2018-02-16,32.586,8.1,5360
212,334543,Lion,2016-01-20,16.8,8.1,5714
213,406,La Haine,1995-05-31,14.183,8.1,2988
214,11659,The Best of Youth,2003-06-22,7.372,8.1,425
215,1396,Mirror,1975-03-07,12.683,8.1,665
216,46738,Incendies,2010-09-04,14.966,8.1,1911
217,115929,Cool Kids Don't Cry,2012-02-15,7.902,8.1,224
218,147,The 400 Blows,1959-06-03,10.679,8.1,1660
219,574074,Kitbull,2019-01-18,5.496,8.1,261
220,437068,A Taxi Driver,2017-08-02,10.277,8.1,660
221,634649,Spider-Man: No Way Home,2021-12-15,4816.033,8.1,13011
222,397567,Along with the Gods: The Two Worlds,2017-12-14,49.083,8.1,554
223,515001,Jojo Rabbit,2019-10-18,34.739,8.1,7413
224,4348,Pride & Prejudice,2005-09-16,36.838,8.1,6501
225,1955,The Elephant Man,1980-10-09,12.738,8.1,2668
226,780,The Passion of Joan of Arc,1928-04-21,11.648,8.1,655
227,632322,All My Life,2020-10-23,16.173,8.1,343
228,11645,Ran,1985-06-01,10.655,8.1,1129
229,19542,The Red Shoes,1948-09-06,6.862,8.1,448
230,62,2001: A Space Odyssey,1968-04-02,29.03,8.1,9356
231,387,Das Boot,1981-09-17,15.961,8.1,1669
232,438695,Sing 2,2021-12-01,735.083,8.1,2755
233,8392,My Neighbor Totoro,1988-04-16,41.316,8.1,6126
234,522518,A Dog's Journey,2019-05-03,41.539,8.1,1107
235,282848,Doctor Who: The Time of the Doctor,2013-12-25,32.078,8.1,247
236,20530,Late Spring,1949-09-13,6.167,8.1,277
237,568160,Weathering with You,2019-06-19,134.684,8.1,1459
238,280,Terminator 2: Judgment Day,1991-07-03,42.531,8.1,10375
239,19426,Nights of Cabiria,1957-10-03,10.615,8.1,552
240,522402,Finch,2021-11-04,220.358,8.1,2320
241,482321,Ron's Gone Wrong,2021-10-15,283.126,8.1,1232
242,9702,Bound by Honor,1993-02-05,106.013,8.1,903
243,8422,Rocco and His Brothers,1960-10-06,7.206,8.1,410
244,821,Judgment at Nuremberg,1961-12-18,9.138,8.1,561
245,610461,Veinteañera  Divorciada y Fantástica,2020-02-14,10.269,8.1,361
246,455661,In a Heartbeat,2017-06-01,6.662,8.1,908
247,28422,Love Exposure,2009-01-31,7.891,8.1,322
248,11423,Memories of Murder,2003-05-02,15.115,8.1,2703
249,550205,Wish Dragon,2021-01-15,120.717,8.1,856
250,800,The Young and the Damned,1950-12-09,7.83,8.1,349
251,339877,Loving Vincent,2017-06-22,14.634,8.1,2073
252,538362,On My Skin,2018-09-12,5.905,8.1,1723
253,10681,WALL·E,2008-06-22,64.743,8.1,15712
254,146233,Prisoners,2013-09-18,29.549,8.1,9255
255,264644,Room,2015-10-16,20.005,8.1,7982
256,120467,The Grand Budapest Hotel,2014-02-26,25.482,8.1,12293
257,81481,Silenced,2011-09-22,11.793,8.1,372
258,58007,Poverty and Nobility,1954-04-17,7.896,8.0,235
